type,slug,title,url,path,country,tags,description
article,suan-phueng,Gentle Weekends,https://mmashaaa.github.io/website_2/articles/suan-phueng.html,articles/suan-phueng.html,Thailand,Slow Down in Nature; Extend Your Weekend; One-Night Escape; Recharge,"Warm springs, green hills and small hotels built for travellers who want to do very little."
article,suipacha,Leave Yourself a Reason to Come Back to Suipacha,https://mmashaaa.github.io/website_2/articles/suipacha.html,articles/suipacha.html,Argentina,Local Traditions & Craftsmanship; Cultural Experience; Food Worth the Trip,"Family-run dairies, a blueberry farm and a tiny alfajor workshop turn food into the whole itinerary."
article,tandil-picada,Build Your Own Picada in Tandil,https://mmashaaa.github.io/website_2/articles/tandil-picada.html,articles/tandil-picada.html,Argentina,Food Worth the Trip,"Wander between delicatessens, build a picnic from cured meats and cheese, and watch the sun drop over Piedra Movediza."
article,thailand-pink-north,Thailand’s Pink North,https://mmashaaa.github.io/website_2/articles/thailand-pink-north.html,articles/thailand-pink-north.html,Thailand,Witness a Rare Event; Slow Down in Nature,"For a few weeks each January, wild Himalayan cherry trees turn northern Thailand's mountains pink."
article,thong-pha-phum,The Road That Ends with a Sweater,https://mmashaaa.github.io/website_2/articles/thong-pha-phum.html,articles/thong-pha-phum.html,Thailand,Slow Down in Nature; Extend Your Weekend; Change the Weather,A former tin-mining village near the Myanmar border where the mountain mist turns cool enough for a jumper.
article,tomas-jofre,Don’t Rush to Grab a Table: Tomás Jofré,https://mmashaaa.github.io/website_2/articles/tomas-jofre.html,articles/tomas-jofre.html,Argentina,Food Worth the Trip; Like a Local,"An old railway village where the real reward is a slow walk between country stores, not just the long lunch."
article,transparent-dome,Spend the Night Under a Transparent Dome Near Buenos Aires,https://mmashaaa.github.io/website_2/articles/transparent-dome.html,articles/transparent-dome.html,Argentina,Slow Down in Nature; One-Night Escape,A glass geodesic dome under the open pampas sky turns one night into the whole trip.
article,uribelarrea-bodegon,From a Sheep Farm to a Bodegón: Things to Do in Uribelarrea,https://mmashaaa.github.io/website_2/articles/uribelarrea-bodegon.html,articles/uribelarrea-bodegon.html,Argentina,Food Worth the Trip; One-Night Escape; Like a Local,"A working sheep farm in the morning, a long Argentine bodegón lunch by afternoon."
article,uribelarrea-details,Small Discoveries in Uribelarrea,https://mmashaaa.github.io/website_2/articles/uribelarrea-details.html,articles/uribelarrea-details.html,Argentina,Slow Down in Nature; Like a Local,"No single landmark defines this village — only a collection of small, brick-and-tin details worth noticing."
article,uvac-river-meanders,The River That Looks Drawn by Hand,https://mmashaaa.github.io/website_2/articles/uvac-river-meanders.html,articles/uvac-river-meanders.html,Serbia,Slow Down in Nature; Extend Your Weekend; One-Night Escape,Bends so perfectly shaped that the Uvac looks less like a river than a hand-drawn line on a map.
article,uvac-vultures,When to Visit Uvac to See Griffon Vultures,https://mmashaaa.github.io/website_2/articles/uvac-vultures.html,articles/uvac-vultures.html,Serbia,Witness a Rare Event; Slow Down in Nature; See Wildlife,Timing is everything: warm thermals and a late-morning start are what bring the vultures into the sky.
article,who-are-the-gauchos,"Who Are the Gauchos, and Why Is It Impossible to Understand Argentina Without Them?",https://mmashaaa.github.io/website_2/articles/who-are-the-gauchos.html,articles/who-are-the-gauchos.html,Argentina,Local Traditions & Craftsmanship; Like a Local,"Horsemen, folklore and a code of hospitality that still shapes the Argentine countryside today."
page,index,Elsewhere — A Weekend Journal,https://mmashaaa.github.io/website_2/index.html,index.html,,,"A researched, honestly-curated journal of weekend trips across Argentina, Thailand and Serbia."
page,about,About,https://mmashaaa.github.io/website_2/about.html,about.html,,,"Why Elsewhere exists: honest, deeply-researched weekend travel writing across Argentina, Thailand and Serbia."
page,journal,Journal,https://mmashaaa.github.io/website_2/journal.html,journal.html,,,"All 42 researched weekend stories across Argentina, Thailand and Serbia, filterable by country and theme."
page,argentina,Argentina,https://mmashaaa.github.io/website_2/argentina.html,argentina.html,,,"Pampas, gauchos and small towns within reach of Buenos Aires — plus the penguin coast of Patagonia. 14 researched weekend stories in Argentina."
page,thailand,Thailand,https://mmashaaa.github.io/website_2/thailand.html,thailand.html,,,"Waterfalls, mountain forest and mangrove canals within a few hours of Bangkok. 16 researched weekend stories in Thailand."
page,serbia,Serbia,https://mmashaaa.github.io/website_2/serbia.html,serbia.html,,,"River gorges, fortress towns and wildlife spectacles along the Danube and beyond. 12 researched weekend stories in Serbia."
page,privacy-policy,Privacy Policy,https://mmashaaa.github.io/website_2/privacy-policy.html,privacy-policy.html,,,"How Elsewhere collects, uses, and protects information from visitors to this weekend travel journal."
page,terms,Terms of Service,https://mmashaaa.github.io/website_2/terms.html,terms.html,,,The terms that govern your use of the Elsewhere weekend travel journal.
